cta,aduana,institucion
1001,"ACAPULCO, GRO.",SEMAR
1002,"AGUA PRIETA, SON.",SEDENA
1005,"SUBTTE LOPEZ, QUINTANA ROO.",SEDENA
1006,"CD. DEL CARMEN, CAMP.",SEMAR
1007,"CD. JUAREZ, CHIH.",SEDENA
1008,"COATZACOALCOS, VER.",SEMAR
1010,"CANCUN, QUINTANA ROO.",SEMAR
1011,"ENSENADA, B.C.",SEMAR
1012,"GUAYMAS, SON.",SEMAR
1013,"LAZARO CARDENAS, MICH.",SEMAR
1014,"LA PAZ, B.C.S.",SEMAR
1016,"MANZANILLO, COL.",SEMAR
1017,"MATAMOROS, TAMPS.",SEDENA
1018,"MAZATLAN, SIN.",SEMAR
1019,"MEXICALI, B.C.",SEDENA
1020,"MEXICO, D.F.",SEDENA
1022,"NACO, SON.",SEDENA
1023,"NOGALES, SON.",SEDENA
1024,"NUEVO LAREDO, TAMPS.",SEDENA
1025,"OJINAGA, CHIH.",SEDENA
1026,"PUERTO PALOMAS, CHIH.",SEDENA
1027,"PIEDRAS NEGRAS, COAH.",SEDENA
1028,"PROGRESO, YUC.",SEMAR
1030,"CD. REYNOSA, TAMPS.",SEDENA
1031,"SALINA CRUZ, OAX.",SEMAR
1033,"SAN LUIS RIO COLORADO, SON.",SEDENA
1034,"CD. MIGUEL ALEMAN, TAMPS.",SEDENA
1037,"CD. HIDALGO, CHIS.",SEDENA
1038,"TAMPICO, TAMPS.",SEMAR
1039,"TECATE, B.C.",SEDENA
1040,"TIJUANA, B.C.",SEDENA
1042,"TUXPAN, VER.",SEMAR
1043,"VERACRUZ, VER.",SEMAR
1044,"CD. ACU„A, COAH.",SEDENA
1046,"TORREON, COAH.",SEDENA
1047,AEROPTO. INTERNAL. CD. MEXICO,SEDENA
1048,"GUADALAJARA, JAL.",SEDENA
1050,"SONOYTA, SON.",SEDENA
1052,"QUERETARO, QRO.",SEDENA
1054,"MONTERREY, N.L.",SEDENA
1055,"TOLUCA, EDO. DE MEXICO.",SEDENA
1057,"CHIHUAHUA, CHIH.",SEDENA
1058,"AGUASCALIENTES, AGS.",SEDENA
1062,"PUEBLA, PUE.",SEDENA
1065,"COLOMBIA, N.L.",SEDENA
1066,"ALTAMIRA, TAMPS.",SEMAR
1067,"CD. CAMARGO, TAMPS.",SEDENA
1068,"DOS BOCAS, TAB.",SEMAR
1069,"GUANAJUATO, GTO.",SEDENA
1070,AEROPTO. INTERNAL. FELIPE ANGELES,SEDENA