fecha,cpi
01/01/21,262.639
01/02/21,263.573
01/03/21,264.847
01/04/21,266.625
01/05/21,268.404
01/06/21,270.71
01/07/21,271.965
01/08/21,272.752
01/09/21,273.942
01/10/21,276.528
01/11/21,278.824
01/12/21,280.806
01/01/22,282.542
01/02/22,284.525
01/03/22,287.467
01/04/22,288.582
01/05/22,291.299
01/06/22,295.072
01/07/22,294.94
01/08/22,295.162
01/09/22,296.421
01/10/22,297.979
01/11/22,298.708
01/12/22,298.808
01/01/23,300.456
01/02/23,301.476
01/03/23,301.643
01/04/23,302.858
01/05/23,303.316
01/06/23,304.099
01/07/23,304.615
01/08/23,306.138
01/09/23,307.374
01/10/23,307.653
01/11/23,308.087
01/12/23,308.735
01/01/24,309.794
01/02/24,311.022
01/03/24,312.107
01/04/24,313.016
01/05/24,313.14
01/06/24,313.131
01/07/24,313.566
01/08/24,314.131
01/09/24,314.851
01/10/24,315.564
01/11/24,316.449
01/12/24,317.603
01/01/25,319.086